2023-05-23,1800634
2023-09-09,3020980
2024-09-08,1605975
2024-07-20,102387
2023-04-06,1342878
2024-11-16,30819285
2024-05-31,152602
2024-06-27,109526
2024-08-31,38976775
2024-12-21,727626
2024-06-23,87965
2023-08-04,3909824
2024-05-10,124537
2024-12-16,813088
2023-08-20,3543400
2023-11-21,1771158
2024-12-05,1692899
2024-02-11,1543828
2024-12-01,2254827
2024-10-21,4406506
2023-12-14,564313
2024-11-27,4043561
2023-06-01,1239084
2024-05-22,177942
2024-08-06,554147
2024-04-12,1658024
2023-04-12,21562099
2023-08-22,3438004
2023-09-21,5483766
2024-05-24,155414
2024-10-14,349620
2023-02-05,4864
2022-11-30,3515
2023-09-19,11113262
2024-03-17,193283
2023-02-01,8592
2023-04-30,6723491
2024-08-27,306614
2024-08-13,1086979
2024-03-20,200679
2023-01-15,368
2023-01-30,78
2024-04-18,201267
2023-12-10,694327
2023-05-26,1395455
2024-11-02,779713
2024-01-24,269407
2025-01-12,762817
2024-07-09,248924
2024-11-03,853279
2023-07-20,869268
2024-08-22,317219
2023-12-01,1712759
2024-02-17,395198
0001-01-01,245080
2023-05-31,1334918
2024-10-22,3130858
2023-09-01,3087888
2024-08-19,541549
2024-10-06,435275
2023-09-03,2126432
2024-01-15,270304
2024-08-30,32850022
2023-01-22,1345
2023-03-10,101915
2024-08-03,162370
2022-12-18,19299
2024-05-23,314265
2023-08-02,2773625
2024-11-17,24080902
2023-09-13,2711991
2024-03-21,219996
2024-01-18,219699
2024-11-19,17685391
2024-04-30,199698
2023-01-17,5049
2023-09-26,2857714
2023-07-18,1209340
2024-03-10,217407
2022-12-28,361
2023-12-27,649423
2023-12-26,971864
2024-05-02,109075
2024-09-11,1403450
2024-01-01,845505
2023-12-08,1174963
2024-12-25,369251
2023-07-05,5834331
2023-12-05,813594
2023-08-25,3566617
2024-02-06,6427238
2024-05-01,206167
2024-12-26,448176
2023-08-06,2849042
2024-11-30,2623449
2022-11-25,108
2023-08-10,2003826
2024-04-11,2443697
2024-08-28,338663
2024-08-18,726263
2023-11-12,1447794
2024-02-13,997822
2023-11-03,1399715
2023-09-05,2618087
2024-08-16,1097852
2024-05-08,116961
2024-06-26,84110
2023-12-30,851923
2024-01-25,175669
2023-01-18,4392
2023-07-28,2527868
2023-12-03,1159576
2024-06-07,159651
2024-07-07,174540
2023-03-22,17614
2024-12-11,1194763
2023-04-03,3308
2023-10-30,1907389
2024-04-02,132328
2023-10-11,3636543
2023-07-29,2162104
2024-01-13,265214
2023-06-13,938515
2023-11-17,1652466
2024-12-23,502077
2024-05-12,68716
2023-10-25,1741431
2023-09-02,2262993
2024-05-05,118676
2024-03-09,203522
2023-07-08,1875339
2023-11-11,1680484
2024-10-24,1831388
2024-09-22,780158
2024-04-23,167658
2024-02-10,1773172
2023-03-16,198705
2023-03-13,128651
2023-05-30,1492062
2024-03-15,195514
2023-07-13,2438267
2025-01-01,376200
2024-06-14,393362
2024-05-28,207923
2024-04-13,1436734
2024-09-29,448717
2024-01-12,415142
2024-06-12,670124
2023-01-04,25242
2023-06-10,826710
2024-01-06,332218
2024-05-30,137505
2023-10-27,1603653
2023-02-06,12624
2024-09-26,637243
2024-09-06,2772396
2024-09-16,1123910
2023-01-21,8116
2024-10-15,363783
2023-01-26,73559
2023-05-16,2784131
2024-04-03,122318
2023-06-19,730627
2024-04-20,328151
2023-12-16,908256
2023-12-24,847347
2023-03-29,17032
2023-07-30,2173872
2023-10-01,3687122
2024-02-23,462139
2023-09-29,4167041
2024-02-16,484780
2024-03-02,173418
2023-11-24,1355169
2024-03-25,158091
2025-01-25,463130
2024-04-05,146842
2025-02-03,5695
2023-08-26,2541687
2023-08-28,2577802
2023-04-07,329751
2024-08-26,304831
2023-05-21,819824
2024-05-17,180657
2023-06-24,1268875
2024-07-03,107675
2024-08-04,122295
2024-02-26,312915
2023-06-27,2457425
2025-01-11,812572
2023-02-21,774
2023-02-25,26787
2024-03-01,291588
2023-05-01,7077962
2024-05-13,105975
2024-11-04,815410
2023-10-16,2459983
2023-04-11,1784556
2025-01-31,88521
2023-08-12,2166542
2024-10-19,8193079
2023-02-15,18644
2023-06-29,2178325
2023-07-26,4590127
2024-06-19,134863
2023-02-03,24421
2023-01-27,2223
2023-08-14,3042108
2025-01-06,521272
2024-01-10,680663
2024-12-04,2180783
2024-03-14,189642
2023-10-10,3549864
2024-09-28,740949
2024-09-15,794292
2022-12-26,42
2024-01-17,340951
2025-01-05,444547
2023-08-09,2627202
2024-07-12,56801
2023-10-13,4424590
2024-08-11,320767
2023-04-17,380965
2024-06-04,128100
2024-03-23,156919
2023-06-14,2860898
2024-02-08,6461565
2024-02-04,513210
2024-12-12,1093479
2023-12-12,717524
2023-09-07,3001398
2023-06-22,7943783
2023-03-19,180056
2025-01-29,224400
2024-07-28,110108
2024-10-05,572558
2023-05-11,3402736
2023-09-04,2654397
2024-12-19,871999
2024-07-14,78474
2023-12-25,616148
2023-10-18,4646717
2024-11-14,61077821
2024-08-15,1010110
2023-11-19,1433959
2024-06-01,140681
2023-04-13,931076
2023-11-02,1424200
2023-10-24,2538579
2024-10-18,14447518
2024-07-08,135393
2023-08-08,2540197
2023-03-23,5668
2024-07-21,132813
2023-04-25,3294818
2023-12-19,1739251
2023-12-18,1047254
2024-09-25,909042
2024-10-01,610156
2023-01-29,15645
2024-04-16,547035
2024-11-25,4854568
2023-05-17,3057644
2024-11-12,43045581
2024-12-20,765150
2024-11-18,24056048
2024-11-26,4085122
2023-09-22,4214437
2023-12-13,1028658
2024-03-29,141072
2024-12-31,447662
2024-07-06,309127
2024-01-21,183760
2024-01-19,275118
2023-07-01,15409633
2024-10-04,559200
2024-09-19,671968
2022-11-17,884415
2025-01-10,774790
2024-06-09,791529
2024-05-18,184942
2023-10-12,4286046
2023-07-27,3063581
2023-05-08,2692188
2025-02-02,28332
2023-02-13,7866
2023-12-31,848729
2024-11-13,57335255
2024-11-07,17407621
2023-06-11,1059113
2024-03-22,110675
2022-11-24,2358
2024-02-05,550438
2024-02-22,529512
2025-01-24,539325
2023-10-15,2061954
2025-01-16,732554
2022-11-28,63
2024-06-22,129331
2024-01-02,775868
2023-04-26,4500949
2024-10-26,1131222
2024-01-22,286369
2024-07-02,98419
2023-03-11,27921
2023-06-16,1617080
2024-11-15,45869143
2024-06-11,510189
2023-11-09,1810053
2023-06-25,1095970
2024-06-03,167351
2025-01-07,886452
2024-06-16,461042
2024-08-07,748769
2024-03-27,136754
2023-04-02,16342
2024-02-29,396040
2023-07-10,1921255
2023-09-27,2589111
2024-05-19,122284
2023-01-25,6588
2022-12-07,1348
2023-11-06,1581813
2023-08-11,2108613
2023-08-19,5484194
2024-11-23,6760582
2024-09-09,1707142
2024-05-29,360990
2023-07-04,8362992
2023-06-12,1551582
2024-08-05,280915
2023-05-10,2127813
2024-02-19,964741
2023-06-05,1745097
2023-11-25,948216
2023-03-26,177922
2024-06-08,4977955
2025-01-17,613433
2024-02-21,1003065
2022-11-18,42432
2023-06-08,1443119
2023-03-27,333464
2023-05-06,1689786
2024-02-24,264844
2024-12-14,892869
2023-10-29,1585992
2024-07-17,136512
2023-10-19,3716189
2024-02-14,720788
2023-08-27,1982830
2024-06-30,84702
2023-11-05,1160871
2023-06-23,2684546
2023-10-08,2814064
2023-04-21,1541736
2025-01-13,808413
2024-09-27,677289
2024-08-21,442681
2023-05-25,1137417
2024-07-11,101818
2024-05-11,115319
2024-07-24,84902
2024-02-09,3359206
2024-01-29,175576
2024-06-10,433882
2023-11-14,894276
2023-01-28,16122
2024-06-25,59501
2025-01-09,945264
2023-02-24,8810
2024-10-09,1456628
2024-10-20,5574733
2023-07-23,2671726
2023-11-08,1132367
2023-05-19,1572981
2023-09-10,2649137
2024-02-28,408421
2023-11-15,1279833
2023-05-28,1231925
2025-01-19,839957
2024-01-11,478566
2023-11-04,1181258
2024-11-05,1319769
2023-12-04,1535146
2024-01-08,1193202
2023-09-14,2203666
2023-10-23,2278233
2024-04-26,126419
2023-07-24,13598760
2024-11-09,15083902
2024-05-27,274911
2023-02-07,12893
2024-10-28,1350659
2024-01-04,578887
2023-03-08,308428
2024-05-25,90340
2024-10-27,967358
2023-02-08,304
2024-04-09,3135876
2024-01-03,848651
2023-02-16,7888
2023-12-11,699316
2024-11-08,13612843
2024-02-12,1357224
2023-11-01,1275705
2024-09-05,3818717
2024-04-28,116008
2023-04-08,556163
2024-07-26,162050
2023-11-18,1852233
2023-07-15,1072441
2024-06-05,105642
2024-11-20,12568483
2023-09-08,3325564
2023-02-23,16421
2023-08-13,2527665
2023-12-15,940267
2023-10-20,2509750
2023-10-21,1987117
2023-06-03,834084
2024-12-22,645216
2024-02-27,325532
2023-10-05,3522427
